"methodId","CG_T3","CG_T2","CG_T1","tokenCsvId","filePath","startLine","endLine","oriStartToken","oriEndToken","startToken","endToken","signature","body"
"95","14","43","42","0","/Users/macbook/Desktop/design/open/wiremock/src/test/java/com/github/tomakehurst/wiremock/matching/EqualToXmlPatternTest.java","69","81","-2147472724","-2147472672","0","0","void returnsNoMatchAnd1DistanceWhenActualIsNull()","void returnsNoMatchAnd1DistanceWhenActualIsNull(){
    EqualToXmlPattern pattern =
        new EqualToXmlPattern(
            ""<things>\n""
                + ""    <thing characteristic=\""tepid\""/>\n""
                + ""    <thing characteristic=\""tedious\""/>\n""
                + ""</things>"");

    MatchResult matchResult = pattern.match(null);

    assertFalse(matchResult.isExactMatch());
    assertThat(matchResult.getDistance(), is(1.0));
  }"
"97","14","43","48","0","/Users/macbook/Desktop/design/open/wiremock/src/test/java/com/github/tomakehurst/wiremock/matching/EqualToXmlPatternTest.java","99","111","-2147472620","-2147472568","0","0","void returnsNoMatchAnd1DistanceWhenActualIsNotXml()","void returnsNoMatchAnd1DistanceWhenActualIsNotXml(){
    EqualToXmlPattern pattern =
        new EqualToXmlPattern(
            ""<things>\n""
                + ""    <thing characteristic=\""tepid\""/>\n""
                + ""    <thing characteristic=\""tedious\""/>\n""
                + ""</things>"");

    MatchResult matchResult = pattern.match(""{ \""markup\"": \""wrong\"" }"");

    assertFalse(matchResult.isExactMatch());
    assertThat(matchResult.getDistance(), is(1.0));
  }"
