"methodId","CG_T3","CG_T2","CG_T1","tokenCsvId","filePath","startLine","endLine","oriStartToken","oriEndToken","startToken","endToken","signature","body"
"267","50","168","167","0","/Users/macbook/Desktop/design/open/mapstruct/processor/src/test/java/org/mapstruct/ap/test/collection/defaultimplementation/TargetFoo.java","36","53","-2147453099","-2147453032","0","0","boolean equals(Object obj)","boolean equals(Object obj){
        if ( this == obj ) {
            return true;
        }
        if ( obj == null ) {
            return false;
        }
        if ( getClass() != obj.getClass() ) {
            return false;
        }
        TargetFoo other = (TargetFoo) obj;
        if ( name == null ) {
            return other.name == null;
        }
        else {
            return name.equals( other.name );
        }
    }"
"1156","50","168","167","0","/Users/macbook/Desktop/design/open/mapstruct/processor/src/test/java/org/mapstruct/ap/test/java8stream/defaultimplementation/TargetFoo.java","36","53","-2147357810","-2147357743","0","0","boolean equals(Object obj)","boolean equals(Object obj){
        if ( this == obj ) {
            return true;
        }
        if ( obj == null ) {
            return false;
        }
        if ( getClass() != obj.getClass() ) {
            return false;
        }
        TargetFoo other = (TargetFoo) obj;
        if ( name == null ) {
            return other.name == null;
        }
        else {
            return name.equals( other.name );
        }
    }"
