"methodId","CG_T3","CG_T2","CG_T1","tokenCsvId","filePath","startLine","endLine","oriStartToken","oriEndToken","startToken","endToken","signature","body"
"1448","175","633","632","0","/Users/macbook/Desktop/design/open/wiremock/src/main/java/com/github/tomakehurst/wiremock/extension/responsetemplating/helpers/HelperUtils.java","20","34","-2147349290","-2147349222","0","0","Integer coerceToInt(Object value)","Integer coerceToInt(Object value){
    if (value == null) {
      return null;
    }

    if (Number.class.isAssignableFrom(value.getClass())) {
      return ((Number) value).intValue();
    }

    if (CharSequence.class.isAssignableFrom(value.getClass())) {
      return Integer.parseInt(value.toString());
    }

    return null;
  }"
"1449","175","633","634","0","/Users/macbook/Desktop/design/open/wiremock/src/main/java/com/github/tomakehurst/wiremock/extension/responsetemplating/helpers/HelperUtils.java","36","50","-2147349222","-2147349154","0","0","Double coerceToDouble(Object value)","Double coerceToDouble(Object value){
    if (value == null) {
      return null;
    }

    if (Number.class.isAssignableFrom(value.getClass())) {
      return ((Number) value).doubleValue();
    }

    if (CharSequence.class.isAssignableFrom(value.getClass())) {
      return Double.parseDouble(value.toString());
    }

    return null;
  }"
