"methodId","CG_T3","CG_T2","CG_T1","tokenCsvId","filePath","startLine","endLine","oriStartToken","oriEndToken","startToken","endToken","signature","body"
"381","53","180","179","0","/Users/macbook/Desktop/design/open/wiremock/src/test/java/com/github/tomakehurst/wiremock/extension/responsetemplating/helpers/SystemValueHelperTest.java","86","96","-2147447336","-2147447255","0","0","void getAllowedPropertyShouldSuccess()","void getAllowedPropertyShouldSuccess(){
    helper = new SystemValueHelper(new SystemKeyAuthoriser(ImmutableSet.of(""test.*"")));
    System.setProperty(""test.key"", ""aaa"");
    assertEquals(""aaa"", System.getProperty(""test.key""));
    ImmutableMap<String, Object> optionsHash =
        ImmutableMap.<String, Object>of(
            ""key"", ""test.key"",
            ""type"", ""PROPERTY"");
    String value = render(optionsHash);
    assertEquals(""aaa"", value);
  }"
"382","53","183","182","0","/Users/macbook/Desktop/design/open/wiremock/src/test/java/com/github/tomakehurst/wiremock/extension/responsetemplating/helpers/SystemValueHelperTest.java","99","108","-2147447255","-2147447186","0","0","void getForbiddenPropertyShouldReturnError()","void getForbiddenPropertyShouldReturnError(){
    helper = new SystemValueHelper(new SystemKeyAuthoriser(ImmutableSet.of(""JAVA.*"")));
    System.setProperty(""test.key"", ""aaa"");
    ImmutableMap<String, Object> optionsHash =
        ImmutableMap.<String, Object>of(
            ""key"", ""test.key"",
            ""type"", ""PROPERTY"");
    String value = render(optionsHash);
    assertEquals(""[ERROR: Access to test.key is denied]"", value);
  }"
