35,46,-2147468923,-2147468865,33,140
49,60,-2147468865,-2147468807,33,141
63,74,-2147468807,-2147468749,33,142
77,88,-2147468749,-2147468691,33,143
125,138,-2147468691,-2147468638,33,144
141,154,-2147468638,-2147468579,33,145
167,175,-2147468579,-2147468517,33,146
188,208,-2147468517,-2147468451,33,147
221,234,-2147468451,-2147468388,33,148
237,251,-2147468388,-2147468309,33,149
254,273,-2147468309,-2147468254,33,150
304,317,-2147468254,-2147468137,33,151
45,58,-2147468137,-2147468020,34,152
33,41,-2147468020,-2147467944,35,153
44,52,-2147467944,-2147467868,35,154
55,63,-2147467868,-2147467796,35,155
66,76,-2147467796,-2147467736,35,156
80,94,-2147467736,-2147467659,35,157
97,110,-2147467659,-2147467482,35,158
37,44,-2147467482,-2147467429,36,159
40,53,-2147467429,-2147467312,37,160
30,40,-2147467312,-2147467246,38,161
43,61,-2147467246,-2147467189,38,162
64,86,-2147467189,-2147467085,38,163
89,104,-2147467085,-2147466918,38,164
35,73,-2147466918,-2147466737,39,165
75,91,-2147466737,-2147466624,39,166
37,45,-2147466624,-2147466571,40,167
60,69,-2147466571,-2147466520,40,168
70,81,-2147466520,-2147466428,41,169
84,93,-2147466428,-2147466335,41,170
96,105,-2147466335,-2147466242,41,171
114,120,-2147466242,-2147466146,41,172
123,138,-2147466146,-2147466088,41,173
141,156,-2147466088,-2147465993,41,174
173,186,-2147465993,-2147465858,41,175
58,71,-2147465858,-2147465741,42,176
148,178,-2147465741,-2147465665,43,177
212,235,-2147465665,-2147465612,43,178
286,300,-2147465612,-2147465524,43,179
303,319,-2147465524,-2147465421,43,180
323,337,-2147465421,-2147465358,43,181
356,364,-2147465358,-2147465270,43,182
367,376,-2147465270,-2147465176,43,183
380,386,-2147465176,-2147465126,43,184
421,437,-2147465126,-2147465069,43,185
440,456,-2147465069,-2147465012,43,186
459,475,-2147465012,-2147464955,43,187
490,508,-2147464955,-2147464898,43,188
567,575,-2147464898,-2147464842,43,189
578,589,-2147464842,-2147464743,43,190
592,611,-2147464743,-2147464596,43,191
31,42,-2147464596,-2147464516,44,192
45,63,-2147464516,-2147464459,44,193
66,88,-2147464459,-2147464355,44,194
91,101,-2147464355,-2147464271,44,195
104,119,-2147464271,-2147464104,44,196
40,53,-2147464104,-2147463987,45,197
88,94,-2147463987,-2147463891,46,198
97,103,-2147463891,-2147463795,46,199
106,112,-2147463795,-2147463699,46,200
163,171,-2147463699,-2147463624,46,201
174,182,-2147463624,-2147463548,46,202
185,196,-2147463548,-2147463440,46,203
199,213,-2147463440,-2147463345,46,204
245,260,-2147463345,-2147463292,46,205
263,274,-2147463292,-2147463242,46,206
291,300,-2147463242,-2147463150,46,207
303,318,-2147463150,-2147463054,46,208
333,346,-2147463054,-2147462919,46,209
83,90,-2147462919,-2147462844,47,210
98,105,-2147462844,-2147462778,47,211
68,75,-2147462778,-2147462694,48,212
78,89,-2147462694,-2147462605,48,213
98,104,-2147462605,-2147462509,48,214
107,122,-2147462509,-2147462451,48,215
125,138,-2147462451,-2147462385,48,216
141,156,-2147462385,-2147462289,48,217
171,184,-2147462289,-2147462154,48,218
283,298,-2147462154,-2147462091,50,219
44,58,-2147462091,-2147461983,51,220
61,74,-2147461983,-2147461891,51,221
77,95,-2147461891,-2147461726,51,222
98,112,-2147461726,-2147461611,51,223
115,128,-2147461611,-2147461508,51,224
131,144,-2147461508,-2147461405,51,225
32,56,-2147461405,-2147461190,52,226
59,87,-2147461190,-2147460957,52,227
90,114,-2147460957,-2147460752,52,228
