"methodId","CG_T3","CG_T2","CG_T1","tokenCsvId","filePath","startLine","endLine","oriStartToken","oriEndToken","startToken","endToken","signature","body"
"0","0","5","4","0","/Users/macbook/Desktop/design/open/wiremock/wiremock-webhooks-extension/src/test/java/testsupport/WireMockResponse.java","57","65","-2147483647","-2147483594","0","0","String> headers()","String> headers(){
    ImmutableListMultimap.Builder<String, String> builder = ImmutableListMultimap.builder();

    for (Header header : httpResponse.getHeaders()) {
      builder.put(header.getName(), header.getValue());
    }

    return builder.build();
  }"
"252","0","5","4","0","/Users/macbook/Desktop/design/open/wiremock/src/test/java/com/github/tomakehurst/wiremock/testsupport/WireMockResponse.java","57","65","-2147458518","-2147458465","0","0","String> headers()","String> headers(){
    ImmutableListMultimap.Builder<String, String> builder = ImmutableListMultimap.builder();

    for (Header header : httpResponse.getHeaders()) {
      builder.put(header.getName(), header.getValue());
    }

    return builder.build();
  }"
