"methodId","CG_T3","CG_T2","CG_T1","tokenCsvId","filePath","startLine","endLine","oriStartToken","oriEndToken","startToken","endToken","signature","body"
"1105","193","623","622","0","/Users/macbook/Desktop/design/open/mapstruct/processor/src/test/java/org/mapstruct/ap/test/selection/qualifier/iterable/TopologyMapper.java","39","48","-2147362456","-2147362401","0","0","TopologyFeatureEntity mapRiver( TopologyFeatureDto dto )","TopologyFeatureEntity mapRiver( TopologyFeatureDto dto ){
        TopologyFeatureEntity topologyFeatureEntity = null;
        if ( dto instanceof RiverDto ) {
            RiverEntity riverEntity = new RiverEntity();
            riverEntity.setLength( ( (RiverDto) dto ).getLength() );
            topologyFeatureEntity = riverEntity;
            topologyFeatureEntity.setName(  dto.getName() );
        }
        return topologyFeatureEntity;
    }"
"1107","193","623","622","0","/Users/macbook/Desktop/design/open/mapstruct/processor/src/test/java/org/mapstruct/ap/test/selection/qualifier/iterable/TopologyWithoutIterableMappingMapper.java","24","33","-2147362346","-2147362291","0","0","TopologyFeatureEntity mapRiver( TopologyFeatureDto dto )","TopologyFeatureEntity mapRiver( TopologyFeatureDto dto ){
        TopologyFeatureEntity topologyFeatureEntity = null;
        if ( dto instanceof RiverDto ) {
            RiverEntity riverEntity = new RiverEntity();
            riverEntity.setLength( ( (RiverDto) dto ).getLength() );
            topologyFeatureEntity = riverEntity;
            topologyFeatureEntity.setName(  dto.getName() );
        }
        return topologyFeatureEntity;
    }"
