"methodId","CG_T3","CG_T2","CG_T1","tokenCsvId","filePath","startLine","endLine","oriStartToken","oriEndToken","startToken","endToken","signature","body"
"428","80","263","262","0","/Users/macbook/Desktop/design/open/mapstruct/processor/src/test/java/org/mapstruct/ap/test/references/samename/SeveralReferencedMappersWithSameSimpleNameTest.java","38","48","-2147437674","-2147437600","0","0","void severalMappersWithSameSimpleNameCanBeReferenced()","void severalMappersWithSameSimpleNameCanBeReferenced(){
        Source source = new Source();
        source.setFoo( 123 );
        source.setBar( 456L );

        Target target = SourceTargetMapper.INSTANCE.sourceToTarget( source );

        assertThat( target ).isNotNull();
        assertThat( target.getFoo() ).isEqualTo( ""246"" );
        assertThat( target.getBar() ).isEqualTo( ""912"" );
    }"
"429","80","263","262","0","/Users/macbook/Desktop/design/open/mapstruct/processor/src/test/java/org/mapstruct/ap/test/references/samename/SeveralReferencedMappersWithSameSimpleNameTest.java","51","61","-2147437600","-2147437526","0","0","void mapperInSamePackageAndAnotherMapperWithSameNameInAnotherPackageCanBeReferenced()","void mapperInSamePackageAndAnotherMapperWithSameNameInAnotherPackageCanBeReferenced(){
        Source source = new Source();
        source.setFoo( 123 );
        source.setBar( 456L );

        Target target = AnotherSourceTargetMapper.INSTANCE.sourceToTarget( source );

        assertThat( target ).isNotNull();
        assertThat( target.getFoo() ).isEqualTo( ""246"" );
        assertThat( target.getBar() ).isEqualTo( ""912"" );
    }"
