"methodId","CG_T3","CG_T2","CG_T1","tokenCsvId","filePath","startLine","endLine","oriStartToken","oriEndToken","startToken","endToken","signature","body"
"473","92","303","302","0","/Users/macbook/Desktop/design/open/mapstruct/processor/src/test/java/org/mapstruct/ap/test/source/presencecheck/spi/PresenceCheckTest.java","50","65","-2147433657","-2147433553","0","0","void testWithSourcesAbsent()","void testWithSourcesAbsent(){

        Source source = new Source();

        source.setHasSomePrimitiveDouble( false );
        source.setHasSomeInteger( false );
        source.setHasSomeList( false );
        source.setHasSomeArray( false );

        Target target = SourceTargetMapper.INSTANCE.sourceToTarget( source );

        assertThat( target.getSomePrimitiveDouble() ).isEqualTo( 0d );
        assertThat( target.getSomeInteger() ).isNull();
        assertThat( target.getSomeList() ).isNull();
        assertThat( target.getSomeArray() ).isNull();
   }"
"475","92","311","310","0","/Users/macbook/Desktop/design/open/mapstruct/processor/src/test/java/org/mapstruct/ap/test/source/presencecheck/spi/PresenceCheckTest.java","87","103","-2147433415","-2147433304","0","0","void testUpdateMethodWithSourcesAbsent()","void testUpdateMethodWithSourcesAbsent(){

        Source source = new Source();

        source.setHasSomePrimitiveDouble( false );
        source.setHasSomeInteger( false );
        source.setHasSomeList( false );
        source.setHasSomeArray( false );

        Target target = new Target();
        SourceTargetMapper.INSTANCE.sourceToTarget( source, target );

        assertThat( target.getSomePrimitiveDouble() ).isEqualTo( 0d );
        assertThat( target.getSomeInteger() ).isNull();
        assertThat( target.getSomeList() ).isNull();
        assertThat( target.getSomeArray() ).isNull();
    }"
