"methodId","CG_T3","CG_T2","CG_T1","tokenCsvId","filePath","startLine","endLine","oriStartToken","oriEndToken","startToken","endToken","signature","body"
"1171","162","588","587","0","/Users/macbook/Desktop/design/open/wiremock/src/test/java/com/github/tomakehurst/wiremock/SavingMappingsAcceptanceTest.java","135","149","-2147376272","-2147376199","0","0","void doesNotDuplicateMappingsAlreadyPersistedToFileSystem()","void doesNotDuplicateMappingsAlreadyPersistedToFileSystem(){
    // Check the mapping we're about to add isn't already there
    WireMockResponse response = testClient.get(""/some/url"");
    assertThat(response.statusCode(), is(404));

    // Add a mapping and save it
    stubFor(get(urlEqualTo(""/some/url"")).willReturn(aResponse().withBody(""Response to /some/url"")));
    saveAllMappings();

    // Save a second time
    saveAllMappings();

    // Check only one file has been written
    assertThat(MAPPINGS_DIRECTORY.listFiles().length, is(1));
  }"
"1172","162","594","593","0","/Users/macbook/Desktop/design/open/wiremock/src/test/java/com/github/tomakehurst/wiremock/SavingMappingsAcceptanceTest.java","152","167","-2147376199","-2147376122","0","0","void doesNotDuplicateMappingsAlreadyPersistedAfterReset()","void doesNotDuplicateMappingsAlreadyPersistedAfterReset(){
    // Check the mapping we're about to add isn't already there
    WireMockResponse response = testClient.get(""/some/url"");
    assertThat(response.statusCode(), is(404));

    // Add a mapping and save it
    stubFor(get(urlEqualTo(""/some/url"")).willReturn(aResponse().withBody(""Response to /some/url"")));
    saveAllMappings();

    // Reset to default to reload the just saved mappings, then save a second time
    resetToDefault();
    saveAllMappings();

    // Check only one file has been written
    assertThat(MAPPINGS_DIRECTORY.listFiles().length, is(1));
  }"
